"Date","MSCI_World","Energies_Renouvelables","Immobilier"
2017-04-27,47.9599990844727,387.015930175781,1926.58996582031
2017-05-04,48.0099983215332,384.019653320312,1921.10473632812
2017-05-11,47.9300003051758,375.179779052734,1903.57153320312
2017-05-18,48.8400001525879,387.516021728516,1948.2001953125
2017-05-25,48.9099998474121,387.665802001953,1944.21154785156
2017-06-01,49.0999984741211,380.673645019531,1954.68298339844
2017-06-08,48.9000015258789,381.273010253906,2017.76123046875
2017-06-15,49.1100006103516,391.211822509766,2008.78564453125
2017-06-22,49.0400009155273,382.072143554688,1958.17309570312
2017-06-29,48.8699989318848,384.269622802734,1924.51477050781
2017-07-06,49.4700012207031,391.611358642578,1935.73425292969
2017-07-13,50.1199989318848,404.347076416016,1975.37683105469
2017-07-20,50.2700004577637,399.352630615234,1974.62878417969
2017-07-27,50.3199996948242,402.698944091797,1965.15454101562
2017-08-03,49.7599983215332,402.299438476562,1951.19250488281
2017-08-10,49.8499984741211,408.292694091797,1979.03076171875
2017-08-17,49.6300010681152,410.739990234375,1996.23583984375
2017-08-24,50.0699996948242,411.389190673828,1991.24865722656
2017-08-31,50.3499984741211,405.945373535156,1971.80017089844
2017-09-07,50.8899993896484,400.251708984375,1930.15979003906
2017-09-14,51.0999984741211,394.208465576172,1893.755859375
2017-09-21,51.0999984741211,387.965484619141,1883.03405761719
2017-09-28,51.6800003051758,406.694519042969,1954.59545898438
2017-10-05,51.9900016784668,408.692260742188,1962.32507324219
2017-10-12,52.060001373291,402.998687744141,1956.34069824219
2017-10-19,52.0699996948242,406.344879150391,1915.94714355469
2017-10-26,52.4199981689453,417.732116699219,1956.09155273438
2017-11-03,52.3800010681152,405.246063232422,1971.30090332031
2017-11-10,52.3199996948242,394.757934570312,1956.34069824219
2017-11-17,52.7700004577637,386.976745605469,1948.73559570312
2017-11-24,53.3499984741211,378.634765625,1918.81274414062
2017-12-01,53.1599998474121,375.387817382812,1917.31640625
2017-12-08,53.6199989318848,385.178436279297,1944.74597167969
2017-12-15,54.1500015258789,397.8662109375,1929.28552246094
2017-12-22,54.2200012207031,399.614532470703,1945.74291992188
2017-12-29,55.2299995422363,399.664459228516,1928.28833007812
2018-01-05,55.7599983215332,413.650939941406,1895.12353515625
2018-01-12,56.5900001525879,399.264801025391,1845.50122070312
2018-01-19,57.5699996948242,388.974792480469,1829.54235839844
2018-01-26,57.0400009155273,386.677001953125,1803.35925292969
2018-02-02,53.439998626709,370.49267578125,1747.75231933594
2018-02-09,54.6800003051758,384.379241943359,1724.31323242188
2018-02-16,54.9199981689453,396.267730712891,1744.39208984375
2018-02-23,54.3400001525879,394.469482421875,1758.85559082031
2018-03-02,54.8499984741211,395.768249511719,1779.30444335938
2018-03-09,55.189998626709,397.566497802734,1775.31481933594
2018-03-16,53.9500007629395,393.720245361328,1747.63403320312
2018-03-23,53.4099998474121,392.171691894531,1766.33703613281
2018-03-29,54.0699996948242,404.160125732422,1776.06286621094
2018-04-05,54.2299995422363,399.8642578125,1738.65612792969
2018-04-12,54.810001373291,402.062194824219,1749.37939453125
2018-04-19,54.1100006103516,403.460784912109,1778.30725097656
2018-04-26,53.3400001525879,414.649993896484,1854.11743164062
2018-05-03,55.1300010681152,428.336791992188,1901.25048828125
