"","IWDA.L.Open","IWDA.L.High","IWDA.L.Low","IWDA.L.Close","IWDA.L.Volume","IWDA.L.Adjusted"
"2017-11-03",52.5,52.7000007629395,52.310001373291,52.3800010681152,9276558,52.3800010681152
"2017-11-10",52.4199981689453,52.5699996948242,51.8199996948242,52.3199996948242,1144391,52.3199996948242
"2017-11-17",52.3499984741211,52.8499984741211,52.189998626709,52.7700004577637,612388,52.7700004577637
"2017-11-24",52.8499984741211,53.4599990844727,52.7999992370605,53.3499984741211,1439494,53.3499984741211
"2017-12-01",53.4099998474121,53.6199989318848,52.7799987792969,53.1599998474121,821516,53.1599998474121
"2017-12-08",53.2599983215332,53.7900009155273,53.2200012207031,53.6199989318848,9562636,53.6199989318848
"2017-12-15",53.5299987792969,54.189998626709,53.4599990844727,54.1500015258789,1420904,54.1500015258789
"2017-12-22",54.0999984741211,54.9300003051758,53.8300018310547,54.2200012207031,1832402,54.2200012207031
"2017-12-29",54.3800010681152,55.2900009155273,54.1699981689453,55.2299995422363,2767753,55.2299995422363
"2018-01-05",55.3199996948242,55.8499984741211,55.2700004577637,55.7599983215332,2138369,55.7599983215332
"2018-01-12",56.0099983215332,56.7700004577637,55.9599990844727,56.5900001525879,1915170,56.5900001525879
"2018-01-19",56.6399993896484,57.7599983215332,56.6399993896484,57.5699996948242,3111685,57.5699996948242
"2018-01-26",57.5099983215332,57.8699989318848,56.7400016784668,57.0400009155273,6202485,57.0400009155273
"2018-02-02",56.9300003051758,56.9300003051758,52.6100006103516,53.439998626709,2820718,53.439998626709
"2018-02-09",53.0499992370605,54.9599990844727,52.1399993896484,54.6800003051758,4115596,54.6800003051758
"2018-02-16",55.3400001525879,55.5099983215332,54.2400016784668,54.9199981689453,3344245,54.9199981689453
"2018-02-23",54.9500007629395,55.8699989318848,54.0999984741211,54.3400001525879,965245,54.3400001525879
"2018-03-02",53.8800010681152,54.9300003051758,53.2900009155273,54.8499984741211,682158,54.8499984741211
"2018-03-09",54.7999992370605,55.8899993896484,54.7799987792969,55.189998626709,510409,55.189998626709
"2018-03-16",55,55.25,53.5800018310547,53.9500007629395,1040125,53.9500007629395
"2018-03-23",53.5,54.0299987792969,52.7000007629395,53.4099998474121,1524871,53.4099998474121
"2018-03-29",53.4099998474121,54.0699996948242,52.1300010681152,54.0699996948242,1017318,54.0699996948242
"2018-04-05",53.6500015258789,54.5200004577637,53.3899993896484,54.2299995422363,1040574,54.2299995422363
"2018-04-12",54.2599983215332,55.1199989318848,54,54.810001373291,1536377,54.810001373291
"2018-04-19",54.75,54.75,53.4700012207031,54.1100006103516,1314047,54.1100006103516
"2018-04-26",54.3699989318848,54.5699996948242,53.2000007629395,53.3400001525879,1353144,53.3400001525879
"2018-05-03",53.7000007629395,55.1300010681152,53.5,55.1300010681152,832799,55.1300010681152
"2018-05-10",55.25,55.6199989318848,54.9300003051758,55.3600006103516,1037945,55.3600006103516
"2018-05-17",55.3199996948242,55.6100006103516,54.7000007629395,54.8499984741211,1537172,54.8499984741211
"2018-05-24",55.0800018310547,55.1800003051758,54.0800018310547,54.5099983215332,1707588,54.5099983215332
"2018-05-31",54.7099990844727,55.7999992370605,54.6300010681152,55.6699981689453,705672,55.6699981689453
"2018-06-07",55.4300003051758,55.9000015258789,55.1500015258789,55.7299995422363,1610186,55.7299995422363
