"","IWDP.L.Open","IWDP.L.High","IWDP.L.Low","IWDP.L.Close","IWDP.L.Volume","IWDP.L.Adjusted"
"2016-09-22",2043,2070.5,2030.92004394531,2041.5,483660,2035.49267578125
"2016-09-29",2030.5,2049.5,1972.5,1980.75,533254,1974.92138671875
"2016-10-06",2011,2051.5,1989.7490234375,2052,359612,2045.96166992188
"2016-10-13",2062,2074.34008789062,2042.06005859375,2056,500927,2049.94970703125
"2016-10-20",2056,2084.2451171875,2000,2002.75,2893484,1996.85668945312
"2016-10-27",1993,2025.22998046875,1934.5,1936,519895,1930.30297851562
"2016-11-04",1932.5,1977.26000976562,1861.625,1876.5,543285,1870.97790527344
"2016-11-11",1866,1916.5,1840,1885.75,660563,1880.34375
"2016-11-18",1876,1911.33703613281,1869.76904296875,1889.25,1088980,1883.83349609375
"2016-11-25",1892,1930.63098144531,1853.5,1871,885771,1865.63586425781
"2016-12-02",1855.5,1934.69604492188,1849.5,1934.5,421226,1928.95385742188
"2016-12-09",1930,1949,1901,1921.25,606584,1915.74182128906
"2016-12-16",1912.5,1971,1909,1943,605542,1937.42932128906
"2016-12-23",1946.5,1980.92004394531,1946.5,1978.75,1021300,1973.07739257812
"2016-12-30",1978,2028.29699707031,1975.5,2006.75,260678,2000.99670410156
"2017-01-06",2019.5,2068,1998,2016.75,703851,2010.96813964844
"2017-01-13",2029.5,2047.5,1990.5,1997,1299913,1991.27478027344
"2017-01-20",1990.5,2001.83801269531,1953.72497558594,1965,427963,1959.36645507812
"2017-01-27",1969,1982.92504882812,1925.75,1968.5,496767,1962.8564453125
"2017-02-03",1972,2007.86401367188,1964.16003417969,1977,544589,1971.33178710938
"2017-02-10",1979.5,1997.5,1973.89501953125,1994,447980,1988.41564941406
"2017-02-17",1992.5,2028.9599609375,1986.69897460938,2007.5,474452,2001.87768554688
"2017-02-24",2013,2049.94995117188,2007.5,2039,690380,2033.28979492188
"2017-03-03",2034,2043.71997070312,1996.33996582031,2011,401440,2005.36828613281
"2017-03-10",2005.5,2014.39904785156,1973.63903808594,1997.5,575637,1991.90600585938
"2017-03-17",1991,2012.07495117188,1967.58996582031,1994,390898,1988.41564941406
"2017-03-24",1989,2005,1952.44995117188,1991,746787,1985.42456054688
"2017-03-30",1951,2047.5,1951,2017,932719,2011.3515625
"2017-04-06",2016,2052.77001953125,2016,2042.75,679403,2037.02966308594
"2017-04-13",2042.75,2052.6201171875,1992.90002441406,2002.75,502273,1997.14135742188
"2017-04-20",2004,2016.69995117188,1965.07995605469,1970,1656685,1964.48278808594
"2017-04-27",1963,1980,1922.85998535156,1932,1439312,1926.58996582031
"2017-05-04",1930,1959.94995117188,1919.56994628906,1926.5,942578,1921.10473632812
"2017-05-11",1929.5,1940.4599609375,1895,1908.75,1916268,1903.57153320312
"2017-05-18",1924,1959.40002441406,1903.09997558594,1953.5,838312,1948.2001953125
"2017-05-25",1962.5,1976.76000976562,1944.26000976562,1949.5,440385,1944.21154785156
"2017-06-01",1970,1983.5,1956,1960,1041298,1954.68298339844
"2017-06-08",2000,2032.60998535156,1988.47998046875,2023.25,1260198,2017.76123046875
"2017-06-15",2026.5,2035.5,2007.5849609375,2014.25,390767,2008.78564453125
"2017-06-22",1999,2025,1956.78002929688,1963.5,977248,1958.17309570312
"2017-06-29",1984.5,1972.74499511719,1928.97998046875,1929.75,634521,1924.51477050781
"2017-07-06",1929,1948.5,1915.0400390625,1941,1425396,1935.73425292969
"2017-07-13",1938.5,1990.5,1935,1980.75,721456,1975.37683105469
"2017-07-20",1975.5,1980.5,1957.17504882812,1980,2571404,1974.62878417969
"2017-07-27",1979,1981.9599609375,1949,1970.5,1425040,1965.15454101562
"2017-08-03",1973.5,1993.5,1954.5,1956.5,409992,1951.19250488281
"2017-08-10",1949.5,1989.94995117188,1938,1984.25,737815,1979.03076171875
"2017-08-17",1968,2010.60998535156,1960.5,2001.5,941086,1996.23583984375
"2017-08-24",1985,1999,1959.80004882812,1996.5,270361,1991.24865722656
