"","INRG.L.Open","INRG.L.High","INRG.L.Low","INRG.L.Close","INRG.L.Volume","INRG.L.Adjusted"
"2016-08-18",416.700012207031,416.700012207031,409.428009033203,411.299987792969,10190,410.725128173828
"2016-08-25",414.399993896484,416.25,403.212005615234,402.75,14469,402.187042236328
"2016-09-01",407.799987792969,421.600006103516,405.68798828125,420.549987792969,199043,419.962219238281
"2016-09-08",419,421.671997070312,397.847991943359,401.149993896484,94322,400.589294433594
"2016-09-15",402.700012207031,419.399993896484,402.700012207031,418.399993896484,39887,417.815155029297
"2016-09-22",421.299987792969,421.299987792969,412.480010986328,420.299987792969,32505,419.712554931641
"2016-09-29",405.799987792969,423.847991943359,405.799987792969,421.75,130231,421.160552978516
"2016-10-06",430,430,423,425.600006103516,63693,425.005096435547
"2016-10-13",434.100006103516,434.100006103516,427.351989746094,431.549987792969,22885,430.94677734375
"2016-10-20",432.971984863281,434.980010986328,424.600006103516,426.600006103516,66767,426.003692626953
"2016-10-27",423.600006103516,425.299987792969,393.700012207031,393.700012207031,64364,393.149688720703
"2016-11-04",392,406.100006103516,367.928985595703,364.75,464901,364.240173339844
"2016-11-11",362.100006103516,367.600006103516,355.5,366.399993896484,100321,365.942260742188
"2016-11-18",368.200012207031,372.085998535156,362.778015136719,371.950012207031,55201,371.485382080078
"2016-11-25",371.399993896484,376.299987792969,363.100006103516,364.25,81211,363.794982910156
"2016-12-02",360.2919921875,371.899993896484,353.700012207031,371.450012207031,46405,370.986022949219
"2016-12-09",366.963989257812,368.868011474609,362.171997070312,364.899993896484,109941,364.444152832031
"2016-12-16",364.5,371.799987792969,363.85400390625,367.799987792969,89195,367.340576171875
"2016-12-23",370.600006103516,378.309997558594,369.253997802734,376.549987792969,160379,376.079620361328
"2016-12-30",376.600006103516,387.510009765625,376,382.100006103516,84846,381.622650146484
"2017-01-06",383.100006103516,394.497985839844,382.200012207031,393.350006103516,87299,392.858612060547
"2017-01-13",395.700012207031,401.675994873047,392.614013671875,392.600006103516,147191,392.109558105469
"2017-01-20",394,395.522003173828,386,387.049987792969,128010,386.566436767578
"2017-01-27",387.100006103516,389.799987792969,379.614013671875,389,78926,388.514068603516
"2017-02-03",388.799987792969,393.799987792969,387,390.799987792969,91011,390.311767578125
"2017-02-10",395.5,408.5,393.821014404297,406.149993896484,175952,405.642639160156
"2017-02-17",405.700012207031,415.727996826172,405.690002441406,407.25,107816,406.741271972656
"2017-02-24",407.200012207031,415.627990722656,402.200012207031,411.100006103516,71798,410.586456298828
"2017-03-03",409.899993896484,415.516998291016,408.790008544922,409.600006103516,130496,409.08837890625
"2017-03-10",407.100006103516,415,406.997009277344,412.5,464905,411.984741210938
"2017-03-17",412.5,412.984985351562,393.35400390625,395,73106,394.506561279297
"2017-03-24",395.799987792969,402.601989746094,388.535003662109,397.5,341577,397.003509521484
"2017-03-30",396.799987792969,401.372009277344,395.5,397.5,97926,397.003509521484
"2017-04-06",400,401.764007568359,396.407989501953,397.549987792969,168733,397.053375244141
"2017-04-13",397.549987792969,397.549987792969,384.023986816406,385.399993896484,98406,384.918548583984
"2017-04-20",385,390.429992675781,381,380.700012207031,100807,380.224517822266
"2017-04-27",383.5,391.835998535156,382.2919921875,387.5,175835,387.015930175781
"2017-05-04",387,391.427001953125,384.873992919922,384.5,123928,384.019653320312
"2017-05-11",386.399993896484,392.536987304688,373.399993896484,375.600006103516,97671,375.179779052734
"2017-05-18",377.450988769531,389.787994384766,376.384002685547,387.950012207031,275788,387.516021728516
"2017-05-25",389.832000732422,391.480987548828,386.763000488281,388.100006103516,800007,387.665802001953
"2017-06-01",388.766998291016,389.700012207031,380.5,381.100006103516,101224,380.673645019531
"2017-06-08",388.799987792969,389.299987792969,381.049987792969,381.700012207031,63794,381.273010253906
"2017-06-15",381,391.100006103516,380.100006103516,391.649993896484,43669,391.211822509766
"2017-06-22",391.5,394.109008789062,384.100006103516,382.5,35072,382.072143554688
"2017-06-29",386.700012207031,389.899993896484,382.700012207031,384.700012207031,148247,384.269622802734
"2017-07-06",384.899993896484,393.302001953125,384.899993896484,392.049987792969,51385,391.611358642578
"2017-07-13",392.299987792969,406.002014160156,390.799987792969,404.799987792969,84839,404.347076416016
"2017-07-20",403.799987792969,405.700012207031,398.079986572266,399.799987792969,265549,399.352630615234
"2017-07-27",398.899993896484,404.600006103516,397.100006103516,403.149993896484,47312,402.698944091797
"2017-08-03",404.5,413.847991943359,402.505004882812,402.75,356583,402.299438476562
"2017-08-10",400.899993896484,416,398.997985839844,408.75,40667,408.292694091797
"2017-08-17",405.799987792969,411.600006103516,403.200012207031,411.200012207031,31726,410.739990234375
"2017-08-24",411.976013183594,413.079986572266,404.700012207031,411.850006103516,68500,411.389190673828
"2017-08-31",410.799987792969,416.075988769531,406.111999511719,406.399993896484,46661,405.945373535156
"2017-09-07",406.299987792969,407.381011962891,399.799987792969,400.700012207031,97877,400.251708984375
"2017-09-14",397.399993896484,398.894989013672,394.739990234375,394.649993896484,72332,394.208465576172
"2017-09-21",395.299987792969,395.299987792969,387.200012207031,388.399993896484,93355,387.965484619141
"2017-09-28",391.200012207031,406.657989501953,391.200012207031,407.149993896484,154471,406.694519042969
"2017-10-05",407.200012207031,408.799987792969,402.670013427734,409.149993896484,57937,408.692260742188
"2017-10-12",405.399993896484,410,401.611999511719,403.450012207031,65281,402.998687744141
"2017-10-19",407.200012207031,409.372985839844,398.700012207031,406.799987792969,54069,406.344879150391
"2017-10-26",408.799987792969,417.701995849609,407.505004882812,418.200012207031,30198,417.732116699219
"2017-11-03",411.399993896484,416.921997070312,405.700012207031,405.700012207031,159004,405.246063232422
"2017-11-10",405.5,406.600006103516,393.101989746094,395.200012207031,121358,394.757934570312
"2017-11-17",390.299987792969,390.700012207031,386.351989746094,387.350006103516,258314,386.976745605469
"2017-11-24",387.350006103516,392.100006103516,378.550994873047,379,157640,378.634765625
"2017-12-01",378.700012207031,380,371.044006347656,375.75,69253,375.387817382812
"2017-12-08",378.200012207031,386.424987792969,378.200012207031,385.549987792969,131427,385.178436279297
